isolate,pbr_res,dataset
SRR8286507,0,van_dorp
SRR8286508,0,van_dorp
SRR8286509,0,van_dorp
SRR8286512,0,van_dorp
SRR8286513,0,van_dorp
SRR8286514,0,van_dorp
SRR8286515,0,van_dorp
SRR8286516,0,van_dorp
SRR8286517,0,van_dorp
SRR8286518,0,van_dorp
SRR8286519,0,van_dorp
SRR8286520,0,van_dorp
SRR8286521,0,van_dorp
SRR8286522,0,van_dorp
SRR8286523,0,van_dorp
SRR8286524,0,van_dorp
SRR8286525,0,van_dorp
SRR8286526,0,van_dorp
SRR8286527,0,van_dorp
SRR8286528,0,van_dorp
SRR8286532,0,van_dorp
SRR8286533,0,van_dorp
SRR8286534,0,van_dorp
SRR8286535,0,van_dorp
SRR8286536,0,van_dorp
SRR8286539,0,van_dorp
SRR8286541,0,van_dorp
SRR8286542,0,van_dorp
SRR8286544,0,van_dorp
SRR848923,0,wright
SRR849528,1,wright
SRR849529,0,wright
SRR849530,1,wright
SRR849531,0,wright
SRR849532,0,wright
SRR849533,0,wright
SRR849534,0,wright
SRR849536,0,wright
SRR849537,0,wright
SRR849538,0,wright
SRR849539,0,wright
SRR849540,0,wright
SRR849542,0,wright
SRR849543,1,wright
SRR849545,0,wright
SRR849546,0,wright
SRR849547,0,wright
SRR849548,0,wright
SRR849549,0,wright
SRR849550,0,wright
SRR849551,1,wright
SRR849552,0,wright
SRR849553,0,wright
SRR849554,0,wright
SRR849555,0,wright
SRR849556,0,wright
SRR849557,0,wright
SRR849597,0,wright
SRR849598,0,wright
SRR849600,0,wright
SRR849602,0,wright
SRR849650,1,wright
SRR849679,0,wright
SRR849681,0,wright
SRR849682,1,wright
SRR849784,0,wright
SRR849786,0,wright
SRR849787,0,wright
SRR849802,0,wright
SRR849803,0,wright
SRR849805,0,wright
SRR849806,0,wright
SRR849807,0,wright
SRR849808,0,wright
SRR849809,0,wright
SRR849826,0,wright
SRR849827,0,wright
SRR849840,1,wright
SRR849841,0,wright
SRR849872,0,wright
SRR3222204,0,patric
GCA_000406765,0,patric
GCA_000417265,0,patric
GCA_000417225,0,patric
GCA_000417085,0,patric
CP020108,0,patric
CP021859,1,patric
CP021833,0,patric
CP021950,0,patric
CP020071,0,patric
CP021751,0,patric
